index,ok,score,grade,task_type,token_delta,error,source,output
0,True,93,优秀,code,122,,帮我写个爬虫抓B站视频标题,"# 任务
写个爬虫抓B站视频标题

# 上下文
- 角色：资深软件工程师
- 交付物：代码

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 给出可直接运行的完整代码，并标注关键行注释
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：代码块 + 关键实现说明（不超过 3 句）

（已剥离 2 字客套 / 冗余表达）

# 原始诉求（不得改变）
帮我写个爬虫抓B站视频标题"
1,True,94,优秀,summarize,102,,总结一下这篇文章的要点,"# 任务
总结这篇文章的要点

# 上下文
- 角色：信息提炼专家
- 交付物：文章

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：要点列表，每条不超过 25 字

（已剥离 2 字客套 / 冗余表达）

# 原始诉求（不得改变）
总结一下这篇文章的要点"
2,True,85,良好,write,102,,写封给客户的道歉邮件，语气正式,"# 任务
写封给客户的道歉邮件，语气正式

# 上下文
- 角色：专业内容创作者
- 交付物：邮件
- 目标读者：决策者 / 上级

# 约束
- 语气：正式专业
- 不要复述我的问题
- 直接给结果，不要寒暄
- 不要出现明显的 AI 套话
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：正文 + 一句话说明你做了哪些取舍"
3,True,95,优秀,explain,96,,解释一下什么是闭包,"# 任务
解释什么是闭包

# 上下文
- 角色：擅长类比讲解的老师

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：结构清晰的分点陈述

（已剥离 2 字客套 / 冗余表达）

# 原始诉求（不得改变）
解释一下什么是闭包"
4,True,85,良好,analyze,93,,对比 React 和 Vue 的优缺点,"# 任务
对比 React 和 Vue 的优缺点

# 上下文
- 角色：严谨的分析顾问

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 区分事实与推测，推测需标注依据
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：结构清晰的分点陈述
- 必须围绕这些要素展开：React、Vue"
5,True,85,良好,translate,82,,把这段英文翻译成中文,"# 任务
把这段英文翻译成中文

# 上下文
- 角色：专业译者（母语级双语）

# 约束
- 语言：英文
- 语言：中文
- 不要复述我的问题
- 直接给结果，不要寒暄
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：结构清晰的分点陈述"
6,True,85,良好,write,97,,写一篇 800 字的产品介绍，面向投资人,"# 任务
写一篇 800 字的产品介绍，面向投资人

# 上下文
- 角色：专业内容创作者
- 目标读者：目标用户

# 约束
- 字数限制：800 字
- 不要复述我的问题
- 直接给结果，不要寒暄
- 不要出现明显的 AI 套话
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：正文 + 一句话说明你做了哪些取舍"
7,True,100,优秀,transform,102,,帮我优化一下这段代码的性能,"# 任务
优化这段代码的性能

# 上下文
- 角色：文字编辑
- 交付物：代码

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：正文 + 一句话说明你做了哪些取舍

（已剥离 4 字客套 / 冗余表达）

# 原始诉求（不得改变）
帮我优化一下这段代码的性能"
8,True,100,优秀,code,123,,你好，请问能不能帮我写个 SQL 查询，谢谢,"# 任务
写个 SQL 查询

# 上下文
- 角色：资深软件工程师

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 给出可直接运行的完整代码，并标注关键行注释
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：代码块 + 关键实现说明（不超过 3 句）
- 必须围绕这些要素展开：SQL

（已剥离 13 字客套 / 冗余表达）

# 原始诉求（不得改变）
你好，请问能不能帮我写个 SQL 查询，谢谢"
9,True,85,良好,code,92,,写个正则匹配邮箱地址,"# 任务
写个正则匹配邮箱地址

# 上下文
- 角色：资深软件工程师

# 约束
- 不要复述我的问题
- 直接给结果，不要寒暄
- 给出可直接运行的完整代码，并标注关键行注释
- 保留我原始诉求的核心意思，不要自行加需求或删减重点
- 只提供完成任务必需的信息，不扩写背景

# 输出格式
- 输出：代码块 + 关键实现说明（不超过 3 句）"
